,Document 1,Document 2
meet,0.0031931123493642104,0.010743996119441206
am,0.054282909939191576,0.15041594567217687
are,0.031931123493642105,0.04297598447776482
every,0.0031931123493642104,0.010743996119441206
how,0.01915867409618526,0.02148799223888241
past,0.0031931123493642104,0.03223198835832362
asked,0.0031931123493642104,0.04297598447776482
answered,0.0031931123493642104,0.010743996119441206
tell,0.0031931123493642104,0.010743996119441206
done,0.0031931123493642104,0.010743996119441206
ever,0.00957933704809263,0.010743996119441206
since,0.006386224698728421,0.010743996119441206
now,0.028738011144277893,0.04297598447776482
eyes,0.0031931123493642104,0.010743996119441206
may,0.006386224698728421,0.07520797283608843
myself,0.006386224698728421,0.010743996119441206
think,0.0031931123493642104,0.010743996119441206
while,0.012772449397456842,0.010743996119441206
limits,0.0031931123493642104,0.010743996119441206
sometimes,0.006386224698728421,0.010743996119441206
laughing,0.006386224698728421,0.010743996119441206
looked,0.0031931123493642104,0.010743996119441206
gone,0.0031931123493642104,0.04297598447776482
from,0.035124235843006314,0.02148799223888241
mind,0.00957933704809263,0.02148799223888241
instantly,0.0031931123493642104,0.02148799223888241
certainly,0.0031931123493642104,0.010743996119441206
or,0.006386224698728421,0.09669596507497084
welcome,0.0031931123493642104,0.010743996119441206
my,0.05108979758982737,0.12892795343329447
impossible,0.00957933704809263,0.010743996119441206
does,0.0031931123493642104,0.010743996119441206
right,0.00957933704809263,0.010743996119441206
mean,0.006386224698728421,0.010743996119441206
house,0.0031931123493642104,0.03223198835832362
believe,0.0031931123493642104,0.02148799223888241
such,0.006386224698728421,0.010743996119441206
called,0.0031931123493642104,0.010743996119441206
age,0.00957933704809263,0.03223198835832362
up,0.028738011144277893,0.10743996119441206
heard,0.0031931123493642104,0.02148799223888241
excuse,0.0031931123493642104,0.010743996119441206
allow,0.0031931123493642104,0.02148799223888241
want,0.012772449397456842,0.02148799223888241
vanity,0.0031931123493642104,0.010743996119441206
listening,0.0031931123493642104,0.010743996119441206
get,0.012772449397456842,0.02148799223888241
can,0.012772449397456842,0.010743996119441206
explain,0.0031931123493642104,0.010743996119441206
did,0.022351786445549474,0.07520797283608843
along,0.0031931123493642104,0.010743996119441206
spot,0.006386224698728421,0.02148799223888241
respect,0.0031931123493642104,0.02148799223888241
paid,0.0031931123493642104,0.02148799223888241
spirit,0.0031931123493642104,0.010743996119441206
put,0.006386224698728421,0.05371998059720603
speaking,0.0031931123493642104,0.03223198835832362
soon,0.0031931123493642104,0.010743996119441206
talking,0.006386224698728421,0.03223198835832362
evil,0.0031931123493642104,0.02148799223888241
formal,0.0031931123493642104,0.010743996119441206
expect,0.0031931123493642104,0.010743996119441206
world,0.0031931123493642104,0.010743996119441206
society,0.0031931123493642104,0.010743996119441206
yourself,0.006386224698728421,0.02148799223888241
expense,0.0031931123493642104,0.010743996119441206
find,0.0031931123493642104,0.03223198835832362
